MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Burger Costeña + Helado de Vainilla: Gratis papas fritas 🍟+ Gaseosa 250ml🥤,"Jamón ahumado de búfalo, salsa ranch, queso tipo costeño, tajada de plátano maduro. ","⭐¡Año Nuevo, Promociones Nuevas!⭐",27000.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Promo💕Premium Burger😜,"Pan artesana tostado, carne de búfalo 180 gr, tomate seco, queso mozzarella, cebolla crispy, rugula, salsa de la casa.","⭐¡Año Nuevo, Promociones Nuevas!⭐",16000.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),¡Arepa JAQUE!😎," Arepa con jamón, queso y nuestra famosa salsa de la casa.","⭐¡Año Nuevo, Promociones Nuevas!⭐",9000.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Combo Reyes Magos!🤴,Llévate nuestra Burger Desmechada con el combo de Colombiana 250ml + Papas. ,"⭐¡Año Nuevo, Promociones Nuevas!⭐",20000.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Buffalo Burger Costeña ,"Jamón ahumado de búfalo, salsa ranch, queso tipo costeño, tajada de plátano maduro. ",Buffalo Burger 🍔,16500.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Buffalo Burger Criolla ,"Jamón ahumado de búfalo , queso tipo mozzarella, cebolla caramelizada, maíz tierno, tomate, lechuga, huevo frito, salsa de la casa.",Buffalo Burger 🍔,16500.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Buffalo Burger Ranchera ,"Chorizo de búfalo, tocineta, salsa cheddar, cebolla caramelizada, tomate, lechuga, salsa BBQ. ",Buffalo Burger 🍔,16500.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Buffalo Burger Tradicional,"Jamón ahumado de búfalo, salsa cheddar, cebolla caramelizada, tomate, lechuga, papa cabello de ángel, salsa de la casa. ",Buffalo Burger 🍔,16500.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Buffalo Burger Universal ,"Salsa cheddar, lechuga, tomate, tocineta, pepinillos, salsa de la casa. ",Buffalo Burger 🍔,16500.0,4.568439960479736,7100.0,54,64
bosa,4.6171831 - 74.1876103,Buffalo City (kenedy),Burger Clásica,"Pan tipo brioche artesanal tostado, Carne de Búfalo 120g, Salsa Cheddar, Pepinillos y Salsa Tasty",Buffalo Burger 🍔,13500.0,4.568439960479736,7100.0,54,64
