MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Arroz chino para dos ,"Arroz chino con costillas, francesa, 2 croquetas de yuca, 2 lumpias, 1 gaseosa 1.5 L.",Arroz chino ,41000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Arroz chino personal con churrasco ,Arroz chino con churrasco + Francesa + Huevo de codorniz + Camarón.,Arroz chino ,21000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Arroz chino valenciano ,"Arroz chino con pollo , francesa, 2 croquetas de yuca, 2 lumpias, 1 gaseosa 1.5 L. (Familiar)",Arroz chino ,45000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Personal con Mojarra,Arroz chino con mojarra + Francesa + Huevo de codorniz + Camarón.,Arroz chino ,20700.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Arroz chino especial de la casa ,"Arroz chino compuesto por cerdo, pollo, jamón, raíz, camarón y huevo de codorniz. (Para 3 o 4 personas).",Arroz chino ,34500.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Hamburguesa especial,"Carne 120 gr, huevo frito, pollo desmechado, cebolla, pan bimbo, lechuga, tomate, queso, papa chip, tocineta y jamón.",Hamburguesas ,19000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Hamburguesa ranchera ,"Carne 120 gr, pan bimbo, maíz tierno, chorizo cóctel, lechuga, tomate, queso, papa chip, tocineta y jamón.",Hamburguesas ,14900.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Hamburguesa doble carne ,"2 carnes 120 gr, pan bimbo, lechuga, tomate, queso, papa chip, tocineta y jamón.",Hamburguesas ,16000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Hamburguesa express,"Carne 120 gr, pan bimbo, lechuga, tomate, queso, papa chip + Gaseosa 250 ml.",Hamburguesas ,15900.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Jugos naturales en agua 11 onz,whitout info,Bebidas ,4500.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Jugos naturales en leche 11 onz ,whitout info,Bebidas ,6000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Combo personal broaster ,1/4 Pollo broaster + Papa francesa + Yuca + Patacón + Arepa + Gaseosa 250 ml.,Combos ,14000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Combo pollo broaster ,1 Pollo broaster + Papa francesa + Yuca + Patacón + Arepa + Gaseosa 1.5 L.,Combos ,39700.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Combo parrillada para dos ,"Cerdo, res, pechuga, pollo frito, costillas, chorizo, plátano, criollitas, papa francesa, arepa.",Combos ,40000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Super combo para 2 personas,1/2 Pollo frito + Papa francesa + Patacón + Arroz + Gaseosa 1.5 L.,Combos ,22000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Churrasco ,"Churrasco de 250 gr, papa francesa, arroz, ensalada y patacón.
",Platos a la carta,25000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Costillas BBQ,"Cotillas 400gr, Francesa, Patacon, arroz y ensalada",Platos a la carta,22000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Lomo de cerdo,"Lomo de 350gr, francesas yuca, patacon y ensalada",Platos a la carta,22000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,Mojarra,"Mojarra de 500gr, francesas, patacón, arroz y ensalada",Platos a la carta,24000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,1 Pollo frito ,Papa salada + Arepa + Plátano. ,Pollo ,29000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,1/2 Pollo frito  ,Papa salada + Arepa + Plátano. ,Pollo ,16000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,1 Pollo broaster ,1 Pollo broaster + Papas francesa + Yuca + Patacón + Arepa.,Pollo ,30000.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,Surtidora de Aves la 18,2x1 Hamburguesa,"2 carnes 120 gr, 2 panes bimbo, lechuga, tomate, queso, papa chip.",Amor y Amistad ,14900.0,5.0,2500.0,100,110
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Promocion Especial,"Selecciona 3 de nuestros rollos de los especiales
",Promociones,54000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Promocion Togarashi,"(10 bocados de a bokado roll, 10 bocados de togarashi roll y escoge entre gyozas o spring rolls para acompañarlos)",Promociones,42000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Promocion Philadelphia,"10 bocados de philadelphia, 10 bocados de ojo de tigre y escoge entre gyozas o spring rolls para acompañarlos",Promociones,40000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi california,"Relleno de palmito de cangrejo, aguacate, queso crema, pepino y masago.",Sushi clásicos,11000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi colombiano roll,"Relleno de salmón, palmito de cangrejo, aguacate, queso crema, completamente tempurizado.",Sushi clásicos,11000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi kani roll,"Relleno de palmito de cangrejo, aguacate, queso crema y toppin de plátano maduro.",Sushi clásicos,10000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi kaniyashi roll,"Relleno de palmito de cangrejo, aguacate, queso crema, toppin de ajonjolí, vegetales tempura y salsa.",Sushi clásicos,10000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi ojo de tigre,"Relleno de salmón, palmito, atún, masago, aguacate y toppin de ajonjolí.",Sushi clásicos,12000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi philadelphia,"Relleno de salmón, aguacate y queso crema.",Sushi clásicos,11500.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi philadelphia crispi,"Relleno de salmón, aguacate y queso crema. Completamente tempurizado.",Sushi clásicos,12000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi vegetariano roll,"Relleno con aguacate, queso crema, berenjena apanada, lechuga crespa y cebollín.",Sushi clásicos,9000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi a bokado roll,"Relleno de langostino apanado, queso crema, masago toppin de queso, mozarela bañado en una salsa de anguila.",Sushi especiales,13000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi camarón roll,Relleno de camarón en salsa aguacate completamente tempurizado.,Sushi especiales,13000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi salmón ski,"Relleno de piel de salmón crocante, palmito de cangrejo y topping de plátano maduro.",Sushi especiales,13000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi tiger roll,"Relleno de camarón y langostino picado en salsa, aguacate, toppin de salmón y masago.",Sushi especiales,14000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi unagui roll ,"Relleno de anguila tempura, salmón tempura, queso crema, toppin de salmón y aguacate.",Sushi especiales,14000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi shangai roll,"Relleno de atún, jalapeños, pepino, toppin de aguacate y plátano maduro.",Sushi especiales,13000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,Sushi chen lon roll,"Relleno de pescado blanco apanado, salsa dinamita, aguacate, toppin de salmón, atún, masago.",Sushi especiales,13000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,ARROZ ABOKADOS DEL MAR,"(Arroz salteado con crema de coco y curry rojo, vegetales de temporada,
salsa de ostras, camarón, calamar, langostino y kanikama crocante)",wok y ceviches,22000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,ARROZ CANTONES VEGETARIANO,"(Arroz salteado con vegetales de temporada, manzana, aceite de 
ajonjolí, jengibre, nampla y limón)",wok y ceviches,15000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,ARROZ CANTONÉS POLLO O CERDO,"(Arroz salteado con vegetales de temporada, manzana, aceite de 
ajonjolí, jengibre, nampla y limón)",wok y ceviches,18000.0,4.857140064239502,3000.0,45,55
fontibon 2,4.6872524 - 74.1491889,A Bokdos Sushi,CEVICHES A Bokados Mixto," 
(120 g de cortes frescos de pescado macerados en cítricos con un 
ligero toque picante acompañado de galletas de soda, chips de
plátano o maíz cancha)",wok y ceviches,17000.0,4.857140064239502,3000.0,45,55
