MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Promo Super Bocado,"30 Makis:
🍣 5 Philadelphia 
🍣 5 California 
🍣 5 Ojo De Tigre 
🍣 5 Tokio 
🍣 ",Destacados,29900.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Promo Coca-Cola California Roll,Promocion: California Roll mas dos (2) Bebidas Coca-Cola de 400ml,Destacados,34900.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Promo Lanzamiento,"Aprovecha 4 gyozas, 10 makis philadelphia crispy y 10 makis ojo de tigre",Destacados,42900.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,1/2 California,"La mejor combinacion posible. Palmito de cangrejo, pepino europeo, aguacate y caviar.",Destacados,9900.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,1/2 California IFood,"La mejor combinacion posible. Palmito de cangrejo, pepino europeo, aguacate y caviar.",Destacados,9000.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Promo Lite Kani Roll IFood,10 Bocados sushi Kani Roll + 1 Gyozas de Pollo + Coca Cola 400ml,Destacados,30000.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Gyozas,Rellenamos sus finas hojas con tus ingredientes favoritos y las acompanamos con la mejor s,Entradas  ,10900.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Lumpias,"Hicimos los tradicionales rollitos primavera de pollo y vegetales, muy crocantes, y les pu",Entradas  ,11700.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Nikkei Roll,"Roll relleno de queso crema, aguacate, y basa tempura con pimienta de limon, cubierto de c",Sushi,13900.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Abokado,"Pusimos el aguacate y el salmon por fuera, para que de provoques con sus colores, y dentro",Makis,16400.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Bekon,"Usamos el platano maduro para envolver nuestro rollo de aguacate, salmon crispy, tocineta ",Makis,15600.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,California,"Lo hicimos fresco, con pepino europeo, aguacate, masago y delicioso palmito de cangrejo. (",Makis,15600.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Ebi Tempura,"La joya de la corona. Tempurizamos el langostino y el atun, para hacer un rollo crunchy en",Makis,19500.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Fish Roll ,"Todo un icono de nuestra carta, armamos un rollo de pescado blanco y queso crema philadelp",Makis,15600.0,4.75,5850.0,60,70
kennedy central bog6,4.6112676 - 74.1592864,Tu Sushi Chapinero,Ika Masago ,"Volvimos crocantes nuestros calamares, los acompanamos de aguacate, masago y queso crema p",Makis,15600.0,4.75,5850.0,60,70
