MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max
med exp,6.2736399 - 75.56157,Ribs And Wings,Pechuga 250 gr ,"Acompañado de arepa tela, queso, papas a la francesa, ensalada y gaseosa.",Otras delicias ,22000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,carne de cerdo,"250 gramos de cañon de cerdo, acompañado de papas y  arepa con queso mozzarela. ",Otras delicias ,24600.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Chuzo pollo,"Acompañado de arepa tela, queso, papas a la francesa, ensalada y gaseosa.",Otras delicias ,19900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,16 alitas,Acompañado de papas y gaseosa 250 ml		,Combo alitas,38900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,5 alitas,Acompañado de papas y gaseosa postobon 250 ml		,Combo alitas,19300.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,7 alitas ,Acompañado de papas y gaseosa postobon 250 ml 	,Combo alitas,23300.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,combo 30 alitas,Acompañado de papa y gaseosa postobon 250 ml.,Combo alitas,58300.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,10 alitas ,Acompañado de papas y gaseosa 250 ml		,Combo alitas,27200.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,24 alitas,Acompañado de papas y gaseosa 250 ml		,Combo alitas,42000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,36 alitas,Acompañado de papas y gaseosa 250 ml		,Combo alitas,59900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,42 alitas ,Acompañado de papas y gaseosa 250 ml		,Combo alitas,68700.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,50 alitas,Acompañado de papas y gaseosa 250 ml		,Combo alitas,82500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo Mixto 20 Alitas + 20 Costillas,Acompañado de papas y gaseosa postobon,Combo mixto ,75500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo mixto 3 alitas + 3 costillitas ,Acompañado de papas y gaseosa 250 ml.,Combo mixto ,19500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo mixto 6 costillas + 6 alitas,Acompañado de papas y gaseosa 250 ml.,Combo mixto ,30500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo mixto 10 alitas + 10 costillas ,Acompañado de papas y gaseosa 250 ml.,Combo mixto ,45700.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo mixto 15 alitas + 15 costillitas,Acompañado de papas y gaseosa 250 ml.,Combo mixto ,48200.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,8 Aros de cebolla,Acompañados de salsa blanca,Entradas,10300.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,10 Palitos de yuca ,Acompañados de salsa blanca,Entradas,7900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,4 Palitos de queso ,Acompañados con salsa piña o mora,Entradas,10900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Empanaditas de pollo,Acompañados de ají,Entradas,7900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Empanaditas de queso ,Acompañados de salsa piña o mora,Entradas,7900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Gaseosa postobon 250 ml ,whitout info,Bebidas,2000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Jugo natural en agua ,"sabores
lulo, maracuya, mora, fresa, guanabana, mandarina, mango,",Bebidas,4000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Jugo natural en leche ,"sabores
lulo, maracuya, mora, fresa, guanabana, mandarina, mango,",Bebidas,4500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Gaseosa 2 lt postobon ,whitout info,Bebidas,4000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Gaseosa 1.5 lt coca cola ,whitout info,Bebidas,4500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Cervezas ,whitout info,Bebidas,3000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,12 Costillitas,Acompañado de papas y gaseosa 250 ml.,Chips de costilla,30900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,5 Costillitas ,Acompañado de papas y gaseosa 250 ml.,Chips de costilla,18200.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo Suprema,"doble Carne de la casa 160 gr, queso, doble tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga, chimichurri Acompañado de papas y gaseosa postobon.",Combo hamburguesas,29000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa americana ,"Carne de la casa 160 gr, pepinillos, aros, queso, tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa postobon 250 ml.",Combo hamburguesas,22900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa argentina ,"Carne de la casa 160 gr, chimichurri de la casa, chorizo argentino, cheddar, tocineta, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa 250 ml .",Combo hamburguesas,26000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa especial,"Carne de la casa 160 gr, queso, tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa postobon.",Combo hamburguesas,20500.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa habanera ,"Carne de la casa 160 gr, 100 gr posta desmechada, queso, tocineta, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa 250 ml.",Combo hamburguesas,26000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa ribs ,"Carne de la casa 160 gr, huevo, queso, tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa postobon 250 ml.",Combo hamburguesas,22900.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa tropical ,"Carne de la casa 160 gr, piña asada, lonja queso , tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa.",Combo hamburguesas,26000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa azteca,"Carne de la casa 160 gr, pico de gallo, queso, guacamole, chili, tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga, jalapeños, nacho. Acompañado de papas y gaseosa 250 ml.",Combo hamburguesas,27000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa mixta ,"Carne de la casa 160 gr, pollo, queso, tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa.",Combo hamburguesas,26300.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Ribs And Wings,Combo hamburguesa philadelphia ribs ,"Carne de la casa 160 gr, salsa queso burgues, queso, tocineta, cebolla caramelizada, tomate, pan artesanal, lechuga. Acompañado de papas y gaseosa 250 ml.",Combo hamburguesas,25000.0,5.0,5200.0,47,57
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa Baileys,"Bizcochuelo artesanal bañado en una exquisita mezcla  del original secreto de la genovesa y el suave sabor de baileys,. Cubierta con un suave merengue italiano y chocolate blanco y chocolate negro.
(imagen de referencia)",Genovesa,34900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa Chocolatosa,"Bizcochuelo esponjoso de vainilla bañado en una deliciosa mezcla de chocolate, malta y el original secreto de la genovesa. Cubierto con merengue italiano de chocolate, galleta de chocomalta y cereza.
(imagen de referencia)",Genovesa,12000.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa Clásica,"Esta es la receta clásica de Don Jacobo. Bizcochuelo artesanal bañado en el original secreto de la genovesa, cubierto en un suave merengue italiano, decorado con ralladura de chocolate y cerezas sobre copos de merengue.
(imagen de referencia)",Genovesa,29900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa De Arequipe,"Bizcochuelo bañado en el exquisito secreto de la original genovesa, cubierto con  dulce de leche tradicional colombiano y suave merengue italiano.
(imagen de referencia)",Genovesa,12000.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa De Mora Silvestre,"Bizcochuelo artesanal bañado en el exquisito secreto de la original Genovesa, con corazón de salsa de moras silvestres. Cubierta con un suave merengue italiano y ralladura de chocolate blanco.
(imagen de referencia)",Genovesa,29900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa Milkos,"Bizcochuelo de chocolate bañado en una exquisita mezcla del original secreto de la genovesa y cocoa. Cubierta con un suave merengue italiano de chocolate y miga de chocolate.
(imagen de referencia)",Genovesa,51000.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Genovesa Red Velvet,"Cake red velvet bañado en el original secreto de la genovesa con deliciosa cubierta de queso crema y ralladura de chocolate blanco.
(imagen de referencia)",Genovesa,29900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Torta Chocomora,"Deliciosa combinación de sabores entre torta de chocolate y vainilla, cubierta y entrevera con una suave salsa de frutos rojos y delicadas líneas de chocolate blanco.
(imagen de referencia)",Tortas Clásicas,29900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Torta De Naranja Y Amapola,"Torta de naranja con semillas de amapola, con un delicioso entreverado de mermelada de naranja. Cobertura blanca y semillas de amapola.
(imagen de referencia)",Tortas Clásicas,29900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Cheesecake De Mora Pequeño,"Suave cheesecake con una delicada capa de salsa de mora y delgadas líneas de chocolate blanco.
(imagen de referencia)",Postres,39900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Cheesecake Red Velvet Pequeño,"Perfecta combinación de cheesecake con red velvet y chocolate blanco.
(imagen de referencia)",Postres,39900.0,5.0,6850.0,58,68
med exp,6.2736399 - 75.56157,Don Jacobo Postres y Ponqués (la Playa),Torta Casera Mediana De Mora Y Amapola,"Torta ligera de vainilla y semillas amapola, decorada con una delgada capa de salsa de moras. (Imagen de referencia).",Casera,25000.0,5.0,6850.0,58,68
