MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),PROMO Miti Haw + Peppe,"Pizza mediana mitad hawaiana + mitad pepperoni.
",¡PROMO! Miti Haw + Peppe 🧡  ,16900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Promo Galletas X3 + Coca Cola 250,"Coca Cola 250 ml + 3 Galletas (chips de chocolate, avena y pasas, mega chocolate) a disponibilidad del restaurante. ",Combo Galletas 🍪🥤 ,6500,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Hawaiana ,"6 Porciones: Jamón de cerdo, piña, queso mozzarella, salsa pomodoro y masa de la casa
",Menú Pixi,21900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Napolitana,"6 Porciones: Rodajas de tomate, queso mozzarella, salsa pomodoro y masa de la casa

",Menú Pixi,16900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Pepperoni,"6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa
",Menú Pixi,18900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Pollo y Champiñones ,"6 Porciones: Pollo, champiñones, queso mozzarella, salsa pomodoro y masa de la casa
",Menú Pixi,21900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza de Carnes,"6 Porciones: Pepperoni, jamón, tocineta, Carne molida, queso mozzarella, salsa pomodoro.








",Menú Pixi,24900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Miti Pepperoni + Miti Hawaiana,"Pizza Mediana 6 Porciones: Mitad Pepperoni + Mitad Hawaiana













",Mediana por Mitades,19900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Miti Pepperoni + Miti Napolitana,"Pizza Mediana en 6 Porciones: Mitad Pepperoni + Mitad Napolitana






",Mediana por Mitades,17900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Miti Pollo y Champiñones + Miti Carnes,"Pizza Mediana 6 Porciones: Mitad pollo y champiñones + Mitad de Carnes
",Mediana por Mitades,23900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Miti Pollo y Champiñones +Miti Hawaiana,Pizza Mediana 6 Porciones: Mitad pollo y champiñones + Mitad Hawaiana,Mediana por Mitades,21900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),2 Pizzas Pepperoni,"6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa 
+  6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa
",Combos Pixi,33900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Combo Pepperoni + Coca Cola 1.5 Lt,"6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa + Coca Cola 1.5 Lt",Combos Pixi,25800,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Pepperoni + Pizza Hawaiana,"6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa 
+ 6 Porciones: Jamón de cerdo, piña, queso mozzarella, salsa pomodoro y masa de la casa
",Combos Pixi,36900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Pepperoni + Pizza Napolitana ,"6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa 
+ 6 Porciones: Rodajas de tomate, queso mozzarella, salsa pomodoro y masa de la casa.
",Combos Pixi,31900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Pizza Pollo con Champiñones + Pizza Hawaiana ,"6 Porciones: Pollo, champiñones, queso mozzarella, salsa pomodoro y masa de la casa
+ 6 Porciones: Jamón de cerdo, piña, queso mozzarella, salsa pomodoro y masa de la casa""
",Combos Pixi,38900,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Agua Normal 280 ml,Agua Normal 280 ml,Bebidas ,2100,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),"Coca Cola 1,5 lt","Coca Cola 1,5 lt",Bebidas ,7600,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Coca Cola 400 ml,Coca Cola 400 ml,Bebidas ,4300,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Coca Cola Sin Azúcar 400 ml,Coca Cola Sin Azúcar 400 ml,Bebidas ,4300,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Jugo Frutos Rojos 250 ml,Jugo Frutos Rojos 250 ml,Bebidas ,2800,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Jugo Limon y Hierbabuena 250 ml,Jugo Limon y Hierbabuena 250 ml,Bebidas ,2800,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Jugo Maracululo 250 ml,Jugo Maracululo 250 ml,Bebidas ,2800,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Quatro 400 ml,Quatro 400 ml,Bebidas ,4300,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Sprite 400 ml,Sprite 400 ml,Bebidas ,4300,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Galleta Mega Chocolate,Galleta mega chocolate,Postres ,1100,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Galleta de Chips de Chocolate,Galleta chips de chocolate,Postres ,1100,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Pixi (suba),Combo Pepperoni + Coca Cola 1.5 Lt,"6 Porciones: Pepperoni, queso mozzarella, salsa pomodoro y masa de la casa + Coca Cola 1.5 Lt",¡¡ Combo Coca-Cola !!❤ ,25800,4.45231008529663,5100,41,51,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Promo Nakata,Promocion Nataka rollo de 10 makis,Destacados,9900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Promo Coca-Cola Ojo de Tigre,Promocion: Sushi Roll Ojo de Tigre mas dos (2) Bebidas Coca-Cola de 400ml,Promociones,34900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Promo de la Casa,"30 Makis:
🍣 5 Philadelphia 
🍣 5 California 
🍣 5 Ojo De Tigre 
🍣 5 Tokio 
🍣 ",Promociones,29900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,1/2 Ojo de Tigre IFood,"El trio maravilla.Pescado blanco, atun y salmon, todo tempura envuelto en ajonjoli.",Promociones,9000,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Promo Lite Kimusubi IFood,Poke Kimusubi + 1 Tempura Sweet + Coca cola 400ml,Promociones,30000,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Gyozas,4 empanadas japonesas rellenas de los mejores ingredientes.,Entradas  ,10900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Spring rolls,"2 rollitos chinos rellenos de pollo y vegetales, acompanados de chile dulce.",Entradas  ,10900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Hatake ,"Arroz gohan, tilapia apanada, aguacate, edamame, habichuelin, maiz tierno, tomate cherry y",Pokes,31200,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Kaneki,"Salmon enconstrado en togarashi, sal marina, aguacate, edamames, mango tommy, piel de gyoz",Pokes,28100,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Kanni Maki,"Relleno de palmito de cangrejo, aguacate y dinamita, envuelto en salsa de mostaza con cama",Sushi,13900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,California,"Palmito de cangrejo, pepino europeo, aguacate y masago. La mejor combinacion.",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Daito,Atun acompanado de queso crema philadelphia y aguacate. Todo el rollo tempura.,Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Dinamita,"Palmito acompanado de queso crema y aguacate, envuelto en salmon a la plancha. ",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Emperador,"Langostino, queso crema y aguacate, envuelto en masago y salmon, banado con tartara orient",Sushi,21700,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Katana,"Para los amantes del salmon tenemos el Katana, envuelto en ajonjoli, acompanado de salmon,",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,kawasemi,"Delicioso Calamar crispy con aguacate fresco, caviar, queso crema philadelphia envuelto en",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Kunyomi,"Al mejor estilo crunch, langostino y atun, envuelto en masago y salmon.",Sushi,21700,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Mango roll,"Salmon fresco, queso crema y bastones de mango tommy, envuelto en ajonjoli.",Sushi,21700,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Miyasaki ,"Una combinacion entre palmito de cangrejo, queso crema philadelphia y aguacate, todo el ro",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Nakata,"Crocante piel de salmon, aguacate y queso crema philadelphia, envuelto en tajadas de plata",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Ojo de Tigre,"Pescado blanco, atun y salmon, todo tempura envuelto en ajonjoli.",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Philadelphia,"El mejor salmon fresco, acompanado aguacate y queso crema philadelphia.",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Phila Tempura,El mismo Philadelphia ahora crispy.,Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Rollo de Atún,"Nuestro mas fresco y suave atun, rodeado por cremoso queso y aguacate.",Sushi,16300,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Salmón Skyn,"Crocante piel de salmon, queso crema philadelphia y aguacate envuelto en ajonjoli tostado.",Sushi,12500,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Tempura sweet,"Bananos tempurizados con coco, banado en salsa de chocolate Hershey´s.",Postres ,10900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Wontons,"4 piezas de masa fina rellenas de arequipe y queso mozzarella, banados en salsa de chocola",Postres ,10900,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Agua,Bebida de 600 ml,Bebidas,5500,4.47457981109619,5850,60,70,,,,,,,
