MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Promo Nakata,Promocion Nataka rollo de 10 makis,Destacados,9900.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Promo Coca-Cola Ojo de Tigre,Promocion: Sushi Roll Ojo de Tigre mas dos (2) Bebidas Coca-Cola de 400ml,Promociones,34900.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Promo de la Casa,"30 Makis:
🍣 5 Philadelphia 
🍣 5 California 
🍣 5 Ojo De Tigre 
🍣 5 Tokio 
🍣 ",Promociones,29900.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,1/2 Ojo de Tigre IFood,"El trio maravilla.Pescado blanco, atun y salmon, todo tempura envuelto en ajonjoli.",Promociones,9000.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Promo Lite Kimusubi IFood,Poke Kimusubi + 1 Tempura Sweet + Coca cola 400ml,Promociones,30000.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Gyozas,4 empanadas japonesas rellenas de los mejores ingredientes.,Entradas  ,10900.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Spring rolls,"2 rollitos chinos rellenos de pollo y vegetales, acompanados de chile dulce.",Entradas  ,10900.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Hatake ,"Arroz gohan, tilapia apanada, aguacate, edamame, habichuelin, maiz tierno, tomate cherry y",Pokes,31200.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Kaneki,"Salmon enconstrado en togarashi, sal marina, aguacate, edamames, mango tommy, piel de gyoz",Pokes,28100.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Kanni Maki,"Relleno de palmito de cangrejo, aguacate y dinamita, envuelto en salsa de mostaza con cama",Sushi,13900.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,California,"Palmito de cangrejo, pepino europeo, aguacate y masago. La mejor combinacion.",Sushi,16300.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Daito,Atun acompanado de queso crema philadelphia y aguacate. Todo el rollo tempura.,Sushi,16300.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Dinamita,"Palmito acompanado de queso crema y aguacate, envuelto en salmon a la plancha. ",Sushi,16300.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Emperador,"Langostino, queso crema y aguacate, envuelto en masago y salmon, banado con tartara orient",Sushi,21700.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Katana,"Para los amantes del salmon tenemos el Katana, envuelto en ajonjoli, acompanado de salmon,",Sushi,16300.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,kawasemi,"Delicioso Calamar crispy con aguacate fresco, caviar, queso crema philadelphia envuelto en",Sushi,16300.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Kunyomi,"Al mejor estilo crunch, langostino y atun, envuelto en masago y salmon.",Sushi,21700.0,4.474579811096191,5850.0,60,70
villas de granada bog 4,4.708713 - 74.135755,Sushi Home Unicentro de Occidente,Mango roll,"Salmon fresco, queso crema y bastones de mango tommy, envuelto en ajonjoli.",Sushi,21700.0,4.474579811096191,5850.0,60,70
